ID Enrollment Status,Enrollment Status,ID Year,Year,Enrollment,University,ID University,Slug University,share
1,Full time,2013,2013,21086,University of Virginia-Main Campus,234076,university-of-virginia-main-campus,0.898653256
2,Part time,2013,2013,2366,Tulane University of Louisiana,160755,tulane-university-of-louisiana,0.18287216
2,Part time,2013,2013,1393,Boston College,164924,boston-college,0.097351317
2,Part time,2013,2013,2558,University of Michigan-Ann Arbor,170976,university-of-michigan-ann-arbor,0.058522077
2,Part time,2013,2013,9503,New York University,193900,new-york-university,0.213076526
2,Part time,2013,2013,1736,University of Rochester,195030,university-of-rochester,0.15753176
2,Part time,2013,2013,2378,University of Virginia-Main Campus,234076,university-of-virginia-main-campus,0.101346744
1,Full time,2012,2012,4737820,Doctoral Universities,DOC,doctoral-universities,0.775465424
2,Part time,2012,2012,1371827,Doctoral Universities,DOC,doctoral-universities,0.224534576
1,Full time,2012,2012,2719293,Doctoral Universities: Highest Research Activity,15,doctoral-universities-highest-research-activity,0.834990596
2,Part time,2012,2012,537382,Doctoral Universities: Highest Research Activity,15,doctoral-universities-highest-research-activity,0.165009404
1,Full time,2012,2012,10373,Tulane University of Louisiana,160755,tulane-university-of-louisiana,0.800509338
1,Full time,2012,2012,13115,Boston College,164924,boston-college,0.897980144
1,Full time,2012,2012,40966,University of Michigan-Ann Arbor,170976,university-of-michigan-ann-arbor,0.943351909
1,Full time,2012,2012,34964,New York University,193900,new-york-university,0.785425465
1,Full time,2012,2012,8784,University of Rochester,195030,university-of-rochester,0.835775452
1,Full time,2012,2012,20984,University of Virginia-Main Campus,234076,university-of-virginia-main-campus,0.877734555
2,Part time,2012,2012,2585,Tulane University of Louisiana,160755,tulane-university-of-louisiana,0.199490662
2,Part time,2012,2012,1490,Boston College,164924,boston-college,0.102019856
2,Part time,2012,2012,2460,University of Michigan-Ann Arbor,170976,university-of-michigan-ann-arbor,0.056648091
2,Part time,2012,2012,9552,New York University,193900,new-york-university,0.214574535
2,Part time,2012,2012,1726,University of Rochester,195030,university-of-rochester,0.164224548
2,Part time,2012,2012,2923,University of Virginia-Main Campus,234076,university-of-virginia-main-campus,0.122265445
