ID CIP2,CIP2,ID CIP4,CIP4,ID CIP6,CIP6,ID Year,Year,ID Carnegie Parent,Carnegie Parent,ID Carnegie,Carnegie,ID University,University,ID Degree,Degree,Completions,Slug University,Slug CIP6
52,Business,5208,Financial Management Services,520801,General Finance,2018,2018,DOC,Doctoral Universities,15,Doctoral Universities: Highest Research Activity,193900,New York University,5,Bachelors Degree,0,new-york-university,general-finance
52,Business,5209,Hospitality Management,520904,Hotel Administration & Management,2018,2018,DOC,Doctoral Universities,15,Doctoral Universities: Highest Research Activity,193900,New York University,5,Bachelors Degree,64,new-york-university,hotel-administration-management
52,Business,5210,Human Resource Management & Services,521002,Labor & Industrial Relations,2018,2018,DOC,Doctoral Universities,15,Doctoral Universities: Highest Research Activity,193900,New York University,5,Bachelors Degree,0,new-york-university,labor-industrial-relations
52,Business,5210,Human Resource Management & Services,521003,Organizational Behavior Studies,2018,2018,DOC,Doctoral Universities,15,Doctoral Universities: Highest Research Activity,193900,New York University,5,Bachelors Degree,0,new-york-university,organizational-behavior-studies
52,Business,5211,International Business,521101,"International Business, Trade, & Commerce",2018,2018,DOC,Doctoral Universities,15,Doctoral Universities: Highest Research Activity,193900,New York University,5,Bachelors Degree,0,new-york-university,international-business-trade-commerce
52,Business,5212,Management Information Systems & Services,521201,General Management Information Systems,2018,2018,DOC,Doctoral Universities,15,Doctoral Universities: Highest Research Activity,193900,New York University,5,Bachelors Degree,106,new-york-university,general-management-information-systems
52,Business,5213,Management Sciences & Quantitative Methods,521301,Management Science,2018,2018,DOC,Doctoral Universities,15,Doctoral Universities: Highest Research Activity,193900,New York University,5,Bachelors Degree,0,new-york-university,management-science
52,Business,5213,Management Sciences & Quantitative Methods,521302,Business Statistics,2018,2018,DOC,Doctoral Universities,15,Doctoral Universities: Highest Research Activity,193900,New York University,5,Bachelors Degree,54,new-york-university,business-statistics
52,Business,5213,Management Sciences & Quantitative Methods,521304,Actuarial Science,2018,2018,DOC,Doctoral Universities,15,Doctoral Universities: Highest Research Activity,193900,New York University,5,Bachelors Degree,5,new-york-university,actuarial-science
52,Business,5213,Management Sciences & Quantitative Methods,521399,Other Management Sciences & Quantitative Methods,2018,2018,DOC,Doctoral Universities,15,Doctoral Universities: Highest Research Activity,193900,New York University,5,Bachelors Degree,15,new-york-university,other-management-sciences-quantitative-methods
52,Business,5215,Real Estate,521501,Real Estate,2018,2018,DOC,Doctoral Universities,15,Doctoral Universities: Highest Research Activity,193900,New York University,5,Bachelors Degree,49,new-york-university,real-estate-521501
52,Business,5218,"General Sales, Merchandising, & Marketing Operations",521801,"General Sales, Distribution, & Marketing Operations",2018,2018,DOC,Doctoral Universities,15,Doctoral Universities: Highest Research Activity,193900,New York University,5,Bachelors Degree,0,new-york-university,general-sales-distribution-marketing-operations
52,Business,5299,"Other Business, Management, Marketing, & Related Services",529999,"Other Business, Management, Marketing, & Related Support Services",2018,2018,DOC,Doctoral Universities,15,Doctoral Universities: Highest Research Activity,193900,New York University,5,Bachelors Degree,112,new-york-university,other-business-management-marketing-related-support-services
